filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
Makefile.am,/thrift-0.12.0.tar.gz/lib/go,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",f0cd34c2ee9ef2dbf4a7a94b08b6e352,7ade79d10085adc0cb708882ec341b75d546aa41,89bb1bef22eb6fb5e36673b05779addc91b9bfb69d6b3096f4ab0ad2136c75a7,1417,1.4K
Makefile.in,/thrift-0.12.0.tar.gz/lib/go,(Apache-2.0 OR SCEA) AND MPL-1.1,74.00%,"Apache-2.0,SCEA",044725c49aa1783118a579ec64afe8a4,df3b942c727997b29d54e41682401c441aec6304,6214a802efd116114a400b56299ab62714517d9f505196365ebce2ddb429b98c,24723,24.1K
README.md,/thrift-0.12.0.tar.gz/lib/go,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",3aee35403c50410a36bed69fc5c45087,d26752c11ce1629b20b7aacee5d6040c8c4fcb4a,5216534f115e40f59217bdf8441d69611e1a14e4732377fe553d9ca6275cf26d,2461,2.4K
coding_standards.md,/thrift-0.12.0.tar.gz/lib/go,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",0c5204248ca37732dd2bedf48a982861,e7ad0d296a44faac1e1cbcd867a7a7ba91b63219,078256774e330c956145f470646e0ec5cb9ce8c9c81d604011e5f1eae8aac122,67,67B
BinaryKeyTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",5ed5d2dcba7c0a6fc2ee2c4f790a02a2,03c7db6152fabd9be6c4742288540fcddfdbc3ae,f1762ba65a9f756440f40256e79b97d03a592333bcd14992399df5d9075e275a,919,919B
DontExportRWTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",32c21376bf7dfab75ea2986a1a99896e,bf3742f8d03b120bec90ded945c255e2076567b3,6bc1134499d0f2007b9a4a5273cdcd3896de7e77384d65a97db7f3f8e0931233,912,912B
ErrorTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",f8288c559fe3fed26a5f5e12124dd71f,283a1de1edd93718c674337453aabb423ac65f45,1e56096fb1fdb8795a13b866c16ca4148013409e7bfb64fd88bd86b724d5f262,1182,1.2K
GoTagTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",65911aa5e150893e4a3e1cc5dd46973a,e33bc82a93df38fc90abc7440d1b2a69dbf9dd70,f86d8a976f3fee43606d89d06a279c6bd3f720a1e1fbd0cbfe58c6b93230dbc0,932,932B
IgnoreInitialismsTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",33d349ead7482ad46abf8fb780677187,286535d3ae3b9eebedb377cfd7037655ea2e4d8d,5f579fa148567dcf084978600da107af94d615ea303ad89a95efda1f77156110,910,910B
IncludesTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",fd94cd2e41ee6f7d6aaaa163e044697d,d39a9e0ed1e6c6ac45297191444ed24afef4e74c,69f857ac292449ef91a446cfa85a130b7430ec6385168c3b67e06832411c384a,1950,1.9K
InitialismsTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",867fa0a6e3d5fabea6c06e759fec192f,136881b5036830fc9aaee8edf308700638655b3b,a765a7bf3f577d5eb08dabe0490011875dbf8569115de3a390eb93a0dad24b0e,881,881B
Makefile.am,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",c1ce341b1a1210f9d4f63d14110a04fa,81d6f5d895cf2f4f06f3621c965fa6f0bd25556a,d1b4ed3a27f11796a14de62b7ce6fc69f72a160b554f20e630b6494f343899dd,3864,3.8K
Makefile.in,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA) AND MPL-1.0,66.00%,"Apache-2.0,SCEA",7f8101b4357bcd932b47e7473afbe425,15b57c26bc8cb78d488feee8a6909384e300bf20,0fc08b6d2b182a1fc176aec760cd567134b08b42717f0efd998294f4246791d9,20731,20.2K
MultiplexedProtocolTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",ac803db429c3e4723abe554fc9f02e46,dd0233bace477d80cea87441bdaca5bb1f717500,bcc8270269589b6405ebe8a48d60565bdbf7612e578832c25d5331baedf1482b,867,867B
NamesTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",78cb3e434f2babcb4671db6653fc3a60,7bc02ee2b1909983487bc25eb0c5d178e8858f2e,6ddae8b9da4499116bf3e97370f587204948f758dde500d5388e990f979c91d3,935,935B
NamespacedTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",8ea8145587f9641fe0717eed3ce3717a,bcea98669158c6bd50df5921eaca9cd829e21cc3,c9f3f1eabb1a94ceecf29965f7cae840b61e0db124443f0ba245e37b36e16b64,1042,1K
OnewayTest.thrift,/thrift-0.12.0.tar.gz/lib/go/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",30a8fa341166b9f58e786dd478306e52,512b9d06c6c4f0d0f01e9179a2b2721c1cda2ecd,ee6ecb618d22968425875dd82ba87d0ded0d0d1da5418d33701cc933dc6baa95,899,899B
