Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/adol-c-v2.6.3.tar.gz/adolclib.pc.in,file,adolclib.pc.in,adolclib.pc,.in,290,2017-01-17,0fc713722c4a4a5d074c6aa25f575448f828d6a8,8fc80776ae419619cd1ecd393827e84e,text/plain,ASCII text,Genshi,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/AUTHORS,file,AUTHORS,AUTHORS,,896,2017-01-17,4ca910565a3ece933b7f23617d7a637a37f68968,d7701ed0b36dd18169003db7f0e2ae3a,text/plain,ASCII text,reStructuredText,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/BUGS,file,BUGS,BUGS,,419,2017-01-17,71453b4962b7c31dab1e8ade8cfe1de00858a653,b697a3bfd4a1ad110e04c1a5ffc18435,text/plain,ASCII text,,False,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/ChangeLog,file,ChangeLog,ChangeLog,,7407,2017-01-17,0c6e0b6e70eca53bed8a1cb2a9eaaedb71656d88,b8b25773ef372541e0fd716ed8f02ccf,text/plain,ASCII text,JavaScript+Lasso,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/configure,file,configure,configure,,656983,2017-01-17,14aaf4173beb3b6abde71ba7503433357bab78e8,5f084058a4a86c093c2990aaa0d573fb,text/x-shellscript,"POSIX shell script, ASCII text executable",Bash,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,fsf-free,95.00,FSF Free Software License,Public Domain,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-free,FSFUL,https://spdx.org/licenses/FSFUL,12,13,fsf-free.LICENSE,fsf-free,[u'fsf-free'],,,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,fsf-free,95.00,FSF Free Software License,Public Domain,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-free,FSFUL,https://spdx.org/licenses/FSFUL,1649,1650,fsf-free.LICENSE,fsf-free,[u'fsf-free'],,,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,fsf-free,100.00,FSF Free Software License,Public Domain,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-free,FSFUL,https://spdx.org/licenses/FSFUL,19129,19130,fsf-free.RULE,fsf-free,[u'fsf-free'],,,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,gpl-2.0-plus,100.00,GPL 2.0 or later,Copyleft,Free Software Foundation (FSF),http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,https://enterprise.dejacode.com/urn/urn:dje:license:gpl-2.0-plus,GPL-2.0-or-later,https://spdx.org/licenses/GPL-2.0-or-later,20392,20413,gpl-2.0-plus_with_libtool-exception-2.0_1.RULE,gpl-2.0-plus WITH libtool-exception-2.0,"[u'gpl-2.0-plus', u'libtool-exception-2.0']",,,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,libtool-exception-2.0,100.00,GNU Libtool exception to GPL 2.0,Copyleft Limited,Free Software Foundation (FSF),http://git.savannah.gnu.org/cgit/libtool.git/tree/m4/libtool.m4,,https://enterprise.dejacode.com/urn/urn:dje:license:libtool-exception-2.0,Libtool-exception,https://spdx.org/licenses/Libtool-exception,20392,20413,gpl-2.0-plus_with_libtool-exception-2.0_1.RULE,gpl-2.0-plus WITH libtool-exception-2.0,"[u'gpl-2.0-plus', u'libtool-exception-2.0']",,,
