filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
gvmat64.asm,/zlib-1.2.11.tar.gz/contrib/masmx64,Info-ZIP,100.00%,Info-ZIP,43cb3b368ada48e0ca4608ddb7df69e6,3c72c7b7f6c82e72b25a700eebccd0a987e7ba7b,390c1e6d63cb615b5ba042842738953f9cdc688b2fe35aaca981fd3fae213f3f,16443,16.1K
inffas8664.c,/zlib-1.2.11.tar.gz/contrib/masmx64,Info-ZIP,100.00%,Info-ZIP,755094d8835608c4652ca43a44af47ec,a179f3e1a04b5db58eaf6fcc473567794e0391f8,f6c585e43e6e524107566b1f10104949d0ef902159ac8203e1d98e50d4bedd62,7577,7.4K
inffasx64.asm,/zlib-1.2.11.tar.gz/contrib/masmx64,Info-ZIP,100.00%,Info-ZIP,9a1aeac37f1a15c0ef1fd68f10d24b3d,249b0329964e35481e8e6217220f474e3076d35a,8448d0041fe6e8f4188fe5916181a1b274c6d35d75cfb28da60cf4f1edde44ec,10583,10.3K
readme.txt,/zlib-1.2.11.tar.gz/contrib/masmx64,Info-ZIP,100.00%,Info-ZIP,81c1080ed3661200c166e00394703f94,3f2e049fdd6fc4c914a0d9a099dfe735cd0e3b86,9bb66b5028100855683853f12da0be479c7bccf74365fdbf37da2542edff9927,1237,1.2K
bld_ml32.bat,/zlib-1.2.11.tar.gz/contrib/masmx86,Info-ZIP,100.00%,Info-ZIP,b71c12c57e5a63630a759e728e92668e,d2bcdd2fcb5e43ee260f510c25cf2b98318e9b0c,b0b05b62715d4a81a7db5b7ca4a372d109ec95634c9d3bef9e0041ff52de22fc,92,92B
inffas32.asm,/zlib-1.2.11.tar.gz/contrib/masmx86,Info-ZIP,100.00%,Info-ZIP,65a7df71a9aa477681e9559c779db941,6f42ac182d48c31346bb6dc04ab74f85157eb0b9,78d2cc88f8ed0e32ef960efc987c257bc1688afe7d031a8ba18761e95a6a7c3f,16392,16K
match686.asm,/zlib-1.2.11.tar.gz/contrib/masmx86,Info-ZIP,100.00%,Info-ZIP,84c3c6d7025dfd97ad53b9dd93768f54,34529073d91211b48f2d8d6cad58202f50cb2047,9e9bea3b5517b089da7d39caded07982746a33f94f0907ca7e8afefed7be36b6,15825,15.5K
readme.txt,/zlib-1.2.11.tar.gz/contrib/masmx86,Info-ZIP,100.00%,Info-ZIP,a809d4d52fc0a9d792b0d4e3c557836c,287dd9febd8dc4b56b07ca84e4cfcf90d21dc09d,1f29a04e0227b74e20ba1b7c764b3ca5bf596dd2c06e89bc19a05fb8f9689778,873,873B
Makefile,/zlib-1.2.11.tar.gz/contrib/minizip,Info-ZIP,100.00%,Info-ZIP,064c9424ffab4af58c685140bb0fc3a0,b1b85a0f99bf296c58326a80bc0bf220080778cd,087034de3dc0223b29e64bb3a4fc3eda7b948e93d2a9ff154aecf9fed2a1eb5b,457,457B
Makefile.am,/zlib-1.2.11.tar.gz/contrib/minizip,Info-ZIP,100.00%,Info-ZIP,3a50713bdffd399cba168843314850f4,f978d26b0069ef66a560bcba8fd204ed70026f2a,2313a3480a2c3745fa7ce216829cd0367058907d3a0902e5832c66c84a2fdfc6,818,818B
