/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/EFL-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/EPL-1.0.c,EPL-1.0_fulltext,EPL-1.0_fulltext
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/EUDatagrid.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/EUPL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/EUPL-1.1.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Entessa.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ErlPL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Eurosym.c,Zlib,Zlib
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/FSFAP.c,Permissive_GNU1,Permissive_GNU1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/FSFUL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/FSFULLR.c,Permissive_GNU2,Permissive_GNU2
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/FTL.c,FTL_fulltext,FTL_fulltext
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Fair.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Frameworx-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/FreeImage.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GFDL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GFDL-1.2.c,GFDL-1.2,GFDL-1.2
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GFDL-1.3.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GL2PS.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-1.0+.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-1.0.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0+.c,GPL-2.0+,GPL-2.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0-with-GCC-exception.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0-with-autoconf-exception.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0-with-bison-exception.c,GPL-1.0+-with-bison-exception,GPL-1.0+-with-bison-exception
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0-with-classpath-exception.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0-with-font-exception.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-2.0.c,GPL-2.0,GPL-2.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-3.0+.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-3.0-with-GCC-exception.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-3.0-with-autoconf-exception.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/GPL-3.0.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Giftware.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Glide.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Glulxe.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/HPND.c,HPND,HPND
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/HaskellReport.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/IBM-pibs.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ICU.c,ICU,ICU
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ICU.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/IJG.c,IJG,IJG
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/IPA.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/IPL-1.0.c,proprietary_IBM,proprietary_IBM
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ISC.c,HPND,HPND
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ImageMagick.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Imlib2.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Info-ZIP.c,Zlib,Zlib
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Intel-ACPI.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Intel.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Interbase-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/JSON.c,proprietary_MIT_Crockford,proprietary_MIT_Crockford
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/JasPer-2.0.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LAL-1.2.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LAL-1.3.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-2.0+.c,LGPL-2.1,LGPL-2.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-2.0.c,LGPL-2.1,LGPL-2.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-2.1+.c,LGPL-2.1,LGPL-2.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-2.1.c,LGPL-2.1,LGPL-2.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-3.0+.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-3.0+.c,LGPL-1.0+,LGPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-3.0.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPL-3.0.c,LGPL-1.0+,LGPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LGPLLR.c,LGPL-1.0+,LGPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPL-1.02.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPPL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPPL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPPL-1.2.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPPL-1.3a.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LPPL-1.3c.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Latex2e.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Leptonica.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LiLiQ-P-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LiLiQ-R-1.1.c,CDDL-1.0,CDDL-1.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LiLiQ-R-1.1.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LiLiQ-R-1.1.c,LGPL-2.1,LGPL-2.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LiLiQ-R-1.1.c,MPL-2.0,MPL-2.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/LiLiQ-Rplus-1.1.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Libpng.c,Libpng,Libpng
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Libpng.c,Libpng_2,Libpng_2
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MIT-CMU.c,HPND,HPND
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MIT-advertising.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MIT-enna.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MIT-feh.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MIT.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MITNFA.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MPL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MPL-1.1.c,MPL-1.1,MPL-1.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MPL-2.0-no-copyleft-exception.c,MPL-2.0-no-copyleft-exception,MPL-2.0-no-copyleft-exception
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MPL-2.0.c,MPL-2.0,MPL-2.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MS-PL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MS-RL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MTLL.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MakeIndex.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/MirOS.c,MirOS,MirOS
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Motosoto.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Multics.c,HPND,HPND
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Mup.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NASA-1.3.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NBPL-1.0.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NCSA.c,MIT_BSD_hybrid,MIT_BSD_hybrid
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NGPL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NLOD-1.0.c,proprietary_Confidential,proprietary_Confidential
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NLPL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NOSL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NPL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NPL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NPOSL-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NRL.c,BSD-4-Clause_UC,BSD-4-Clause_UC
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NTP.c,HPND,HPND
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Naumen.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Net-SNMP.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Net-SNMP.c,HPND,HPND
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/NetCDF.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Newsletr.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Nokia.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Noweb.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Nunit.c,Zlib,Zlib
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/OCCT-PL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/OCLC-2.0.c,suspiciousLicensey,suspiciousLicensey
